                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7047,                 3.6307,                 1.6365,                0.04987,                0.48383,                0.03955,                0.01694,                 1.9551,                 3.4476,                 1.1278,                0.00012,                0.00012,                0.00012
                      2,                  2.065,                 3.0331,                 1.2317,                0.02327,                0.22575,                0.03939,                0.01121,                 1.8822,                 3.2229,                 1.0329,             0.00023426,             0.00023426,             0.00023426
                      3,                  1.858,                 2.0797,                 1.0662,                0.07256,                0.70398,                 0.5617,                0.24539,                 1.7686,                 2.8644,                0.98179,              0.0003208,              0.0003208,              0.0003208
                      4,                 1.6739,                 1.4446,                0.99441,                0.76363,                0.56032,                0.66795,                0.32835,                  1.657,                  2.124,                0.94203,             0.00037962,             0.00037962,             0.00037962
                      5,                  1.518,                 1.2022,                0.98642,                0.77563,                0.67506,                 0.7719,                0.34659,                 1.6319,                  1.857,                0.95509,             0.00041072,             0.00041072,             0.00041072
                      6,                  1.509,                 1.1332,                0.98185,                0.80503,                0.70585,                0.82479,                0.38189,                 1.5638,                 1.7202,                0.96105,              0.0004141,              0.0004141,              0.0004141
                      7,                 1.4407,                  1.057,                 0.9553,                0.85476,                0.76244,                0.87615,                0.44352,                 1.5122,                 1.6385,                0.95332,             0.00038976,             0.00038976,             0.00038976
                      8,                 1.4195,                 1.0723,                0.95923,                0.89343,                0.83582,                0.92174,                0.51517,                  1.444,                 1.4188,                0.94023,              0.0003377,              0.0003377,              0.0003377
                      9,                 1.3472,                 1.0012,                0.94034,                0.88904,                0.84705,                0.92554,                0.52751,                 1.4288,                 1.3472,                0.93868,             0.00025792,             0.00025792,             0.00025792
                     10,                 1.3338,                0.96743,                 0.9386,                0.89816,                0.85559,                 0.9308,                0.53536,                 1.4144,                 1.2924,                0.93594,             0.00015042,             0.00015042,             0.00015042
